0001,[篭][毛][與] [美][篭][母][乳] [布][久][思][毛][與] [美][夫][君][志][持] [此][岳][尓] [菜][採][須][兒] [家][吉][閑][名] [告]<[紗]>[根] [虚][見][津] [山][跡][乃][國][者] [押][奈][戸][手] [吾][許][曽][居] [師]<[吉]>[名][倍][手] [吾][己][曽][座] [我]<[許]>[背][齒] [告][目] [家][呼][毛][名][雄][母]
0002,[山][常][庭] [村][山][有][等] [取][與][呂][布] [天][乃][香][具][山] [騰][立] [國][見][乎][為][者] [國][原][波] [煙][立][龍] [海][原][波] [加][萬][目][立][多][都] [怜][Ａ][國][曽] [蜻][嶋] [八][間][跡][能][國][者]
0003,[八][隅][知][之] [我][大][王][乃] [朝][庭] [取][撫][賜] [夕][庭] [伊][縁][立][之] [御][執][乃] [梓][弓][之] [奈][加][弭][乃] [音][為][奈][利] [朝][猟][尓] [今][立][須][良][思] [暮][猟][尓] [今][他][田][渚][良][之] [御][執]<[能]> <[梓]>[弓][之] [奈][加][弭][乃] [音][為][奈][里]
0004,[玉][尅][春] [内][乃][大][野][尓] [馬][數][而] [朝][布][麻][須][等][六] [其][草][深][野]
0005,[霞][立] [長][春][日][乃] [晩][家][流] [和][豆][肝][之][良][受] [村][肝][乃] [心][乎][痛][見] [奴][要][子][鳥] [卜][歎][居][者] [珠][手][次] [懸][乃][宜][久] [遠][神] [吾][大][王][乃] [行][幸][能] [山][越][風][乃] [獨]<[座]> [吾][衣][手][尓] [朝][夕][尓] [還][比][奴][礼][婆] [大][夫][登] [念][有][我][母] [草][枕] [客][尓][之][有][者] [思][遣] [鶴][寸][乎][白][土] [網][能][浦][之] [海][處][女][等][之] [焼][塩][乃] [念][曽][所][焼] [吾][下][情]
0006,[山][越][乃] [風][乎][時][自][見] [寐]<[夜]>[不][落] [家][在][妹][乎] [懸][而][小][竹][櫃]
0007,[金][野][乃] [美][草][苅][葺] [屋][杼][礼][里][之] [兎][道][乃][宮][子][能] [借][五][百][礒][所][念]
0008,[熟][田][津][尓] [船][乗][世][武][登] [月][待][者] [潮][毛][可][奈][比][沼] [今][者][許][藝][乞][菜]
0009,[莫][囂][圓][隣][之][大][相][七][兄][爪][謁][氣] [吾][瀬][子][之] [射][立][為][兼] [五][可][新][何][本]
0010,[君][之][齒][母] [吾][代][毛][所][知][哉] [磐][代][乃] [岡][之][草][根][乎] [去][来][結][手][名]
0011,[吾][勢][子][波] [借][廬][作][良][須] [草][無][者] [小][松][下][乃] [草][乎][苅][核]
0012,[吾][欲][之] [野][嶋][波][見][世][追] [底][深][伎] [阿][胡][根][能][浦][乃] [珠][曽][不][拾] [[或][頭][云] [吾][欲] [子][嶋][羽][見][遠]]
0013,[高][山][波] [雲][根][火][雄][男][志][等] [耳][梨][與] [相][諍][競][伎] [神][代][従] [如][此][尓][有][良][之] [古][昔][母] [然][尓][有][許][曽] [虚][蝉][毛] [嬬][乎] [相]<[挌]>[良][思][吉]
0014,[高][山][与] [耳][梨][山][与] [相][之][時] [立][見][尓][来][之] [伊][奈][美][國][波][良]
0015,[渡][津][海][乃] [豊][旗][雲][尓] [伊][理][比]<[紗]>[之] [今][夜][乃][月][夜] [清][明][己][曽]
0016,[冬][木][成] [春][去][来][者] [不][喧][有][之] [鳥][毛][来][鳴][奴] [不][開][有][之] [花][毛][佐][家][礼][抒] [山][乎][茂] [入][而][毛][不][取] [草][深] [執][手][母][不][見] [秋][山][乃] [木][葉][乎][見][而][者] [黄][葉][乎][婆] [取][而][曽][思][努][布] [青][乎][者] [置][而][曽][歎][久] [曽][許][之][恨][之] [秋][山][吾][者]
0017,[味][酒] [三][輪][乃][山] [青][丹][吉] [奈][良][能][山][乃] [山][際] [伊][隠][萬][代] [道][隈] [伊][積][流][萬][代][尓] [委][曲][毛] [見][管][行][武][雄] [數][々][毛] [見][放][武][八][萬][雄] [情][無] [雲][乃] [隠][障][倍][之][也]
0018,[三][輪][山][乎] [然][毛][隠][賀] [雲][谷][裳] [情][有][南][畝] [可][苦][佐][布][倍][思][哉]
0019,[綜][麻][形][乃] [林][始][乃] [狭][野][榛][能] [衣][尓][著][成] [目][尓][都][久][和][我][勢]
0020,[茜][草][指] [武][良][前][野][逝] [標][野][行] [野][守][者][不][見][哉] [君][之][袖][布][流]
0021,[紫][草][能] [尓][保][敝][類][妹][乎] [尓][苦][久][有][者] [人][嬬][故][尓] [吾][戀][目][八][方]
0022,[河][上][乃] [湯][津][盤][村][二] [草][武][左][受] [常][丹][毛][冀][名] [常][處][女][煮][手]
0023,[打][麻][乎] [麻][續][王] [白][水][郎][有][哉] [射][等][篭][荷][四][間][乃] [珠][藻][苅][麻][須]
0024,[空][蝉][之] [命][乎][惜][美] [浪][尓][所][濕] [伊][良][虞][能][嶋][之] [玉][藻][苅][食]
0025,[三][吉][野][之] [耳][我][嶺][尓] [時][無][曽] [雪][者][落][家][留] [間][無][曽] [雨][者][零][計][類] [其][雪][乃] [時][無][如] [其][雨][乃] [間][無][如] [隈][毛][不][落] <[念]>[乍][叙][来] [其][山][道][乎]
